ID,Категория,Название мастерской / имя мастера,Никнейм,Город,Регион,Что производит,Признаки собственного производства,Активность,Последняя обнаруженная активность,Основной способ связи,Основной контакт,VK,Telegram,Instagram / другая соцсеть,Сайт,Email,Дополнительные контакты,Основной источник,Дополнительный источник,Почему подходит нашей мастерской,Потенциально интересующие детали / услуги,Коммерческая релевантность 1-5,Качество лида A/B/C,Комментарий исследователя,Дата проверки
C001,Cosplay studio,ДЖАТ мастерская (JAT Works),jat.works / jatworks,Москва,Москва,"Доспехи и броня, шлемы, маски, копии оружия, пошив костюмов, фурри-костюмы, реквизит и бутафория для киносъёмок, предметы интерьера","Прямая цитата с сайта: «В мастерской освоен полный цикл производства — от идеи и наброска до законченного продукта»; работа с пластиками, текстилем и электроникой; ОТДЕЛЬНОЕ направление 3D-печати (FDM и SLA) и 3D-моделирования по эскизам; помощь со вступлением в 501-й легион (Lucasfilm) — то есть серийная сборка костюмов по стандарту",Активна,2026-09 — сайт и соцсети живые; заявлено более 10 лет работы,Email,info@jat.works,https://vk.com/jat.works,https://t.me/jatworks,,https://jat.works,info@jat.works,"Адрес мастерской: Москва, ул. Никитинская 5А (м. Измайлово)",https://jat.works/cosplay,https://jat.works,"Один из немногих по-настоящему оснащённых игроков рынка: уже есть FDM и SLA, значит объём печати достаточен, чтобы часть отдавать на сторону при пиковой загрузке. Серийка костюмов 501-го легиона — повторяемые детали в тираже, наш профиль. Прямой email плюс Telegram делают вход в переговоры самым лёгким во всей базе.","Тиражирование повторяемых деталей брони и шлемов, крупногабаритная печать, SLA-детали высокой точности, мастер-модели, механические узлы",5,A,"Самый «взрослый» лид косплей-базы: публичный адрес цеха, email, 10+ лет. Уже печатает сам — продавать надо мощность и то, чего их парк не умеет.",2026-09-15
C002,Cosplay studio,Мануфактура косплея (Cosplay Manufactory),cosplaymanufactory,Екатеринбург,Свердловская область,"Бутафория, реквизит, реплики, декорации, оборудование для квестов, маски, пошив костюмов, статуэтки, изделия из кожи и металла, аниматроника, ростовые статуи; отдельно — продажа материалов для косплея (EVA foam и др.)","Собственная мастерская с адресом, раздел «3D-печать на заказ, 3D-моделирование»; в интервью на 3Dtoday команда описана как «разрабатывает механизмы, делает постобработку, подсветку и ЛИТЬЁ ПЛАСТИКА (мелкосерийка)»; броня преимущественно EVA foam, шлемы — 3D-печать",Активна,"2026-09 — сайт индексируется и активно цитируется, блог-активность на 3dtoday",Email,info@cosplaymanufactory.ru,,,,http://cosplaymanufactory.ru/,info@cosplaymanufactory.ru,"Адрес: Екатеринбург, пр. Космонавтов, 11. Телефон из поисковой выдачи: +7-908-923-37-90 (сверить на первоисточнике). VK-сообщество у этой мастерской есть (страница-визитка построена на нём), но точный URL в источнике не раскрыт — не указываю, чтобы не выдумывать ссылку.",http://cosplaymanufactory.ru/masterskaya/,https://3dtoday.ru/blogs/cvetmir3d/3d-printing-in-cosplay-props-production-props-and-replicas12,"Единственные во всей выборке, кто прямо употребляет слово «мелкосерийка» о собственном литье пластика, и при этом уже печатают шлемы. Это готовый язык для разговора: им не нужно объяснять ни технологию, ни экономику тиража. Плюс закрывают Екатеринбург — крупнейший рынок Урала.","Мелкосерийные тиражи деталей, мастер-модели под литьё, печать шлемов и механизмов, аниматроника, оснастка",5,A,Наиболее явный «мелкосерийный» профиль базы. Сайт временами отдаёт HTTP 503 — при контакте надёжнее email. Телефон взят из поисковой выдачи и НЕ подтверждён на первоисточнике.,2026-09-15
C003,Prop maker,Wizard Workshop (Реквизит для съёмок),wizardsworks,Москва,Москва,"Косплей-реквизит и бутафория, доспехи, оружие, шлемы, маски, аксессуары, элементы костюмов, реквизит для съёмок","«3D-печать на заказ» заявлена ОТДЕЛЬНОЙ УСЛУГОЙ (запчасти, корпуса, держатели, фигурки) с постобработкой и профессиональным окрашиванием; материалы PETG и фотополимер, EVA-крафт; собственное 3D-моделирование и лазерная резка; пайка и программирование Arduino; встроенная подсветка и аккумуляторы",Активна,"2026-09 — страница активна, доставка по РФ",Telegram,https://t.me/wizardsworks,https://vk.com/club212058151,https://t.me/wizardsworks,,https://wizardworkshop.orgs.biz,,"Телефоны (опубликованы как контакты для заказов): +7 (905) 777-98-37, +7 (925) 809-18-59",https://wizardworkshop.orgs.biz/,https://vk.com/club212058151,"Сочетание 3D-печати, лазерной резки и электроники Arduino означает, что они берут технически сложные заказы, где узкое место — именно печать точных корпусов и держателей. Идеальный профиль под аутсорс печати при перегрузке. Единственный VK-URL, зафиксированный точно, плюс прямой Telegram.","Корпуса, держатели, крепления, точные детали PETG и фотополимер, механические узлы, тиражирование",5,A,"Один из лучших целевых лидов по 3D-печати. VK-сообщество club212058151 зафиксировано точно, в отличие от большинства orgs.biz-карточек.",2026-09-15
C004,Prop maker,Shen Sabers,shensabers,Москва,Москва,"Световые мечи ручной работы под дуэли, пустые рукояти под самосборку, шасси с кристаллокамерами, электронные модули (Proffieboard, LED, кнопки, платы зарядки), клинки","SLS и другие методы 3D-печати для шасси и компонентов; ЧПУ-обработка алюминия и анодирование; собственная сборка с интеграцией электроники; собственная линейка моделей («Brave Master», «Amphibian», «Legend Hero», «Factum») — то есть повторяемые SKU",Активна,2026-09 — работающий магазин с ценами 7 000–38 900 ₽,Сайт,https://shensabers.orgs.biz,,,,https://shensabers.orgs.biz,,"Телефон (опубликован как контакт для заказов): +7 (495) 744-86-93. VK-сообщество у этой мастерской есть (страница-визитка построена на нём), но точный URL в источнике не раскрыт — не указываю, чтобы не выдумывать ссылку.",https://shensabers.orgs.biz/,,"Самый инженерный профиль всей базы: SLS-печать плюс ЧПУ-алюминий плюс собственная электроника и линейка повторяемых моделей. Это эталонный мелкосерийный производитель, у которого потребность в печати постоянная и измеримая, а не разовая.","SLS и FDM-печать шасси, кристаллокамеры, корпуса электроники, крепления, тиражирование повторяемых SKU",5,A,"Продают пустые рукояти под самосборку — значит уже мыслят компонентами, а не только готовыми изделиями. Точный VK-URL не зафиксирован.",2026-09-15
C005,Prop maker,Cyber Craft,cyber-craft,не указан,не указан,"Реалистичные шлемы из фильмов и игр (Star Wars, Mandalorian, Titanfall, Helldivers), косплей-броня и костюмы, аксессуары",Прямо заявлено «собственное производство» и гарантия 6 месяцев как производителя; электроника «спроектирована нашими инженерами» и изготовлена на заводе; корпус из ABS-пластика; японские ЛКМ; кастомная покраска и брендирование,Активна,2026-09 — работающий интернет-магазин с ценами и конфигуратором,Email,info@cyber-craft.ru,,,,https://cyber-craft.ru/,info@cyber-craft.ru,Телефон (опубликован как контакт): +7 913 108-98-27,https://cyber-craft.ru/,,"Единственные в выборке, кто позиционируется как СЕРИЙНЫЙ производитель шлемов с гарантией и конфигуратором. Тиражируемые SKU из ABS плюс собственная электроника — это ровно тот масштаб, где закупка печатных деталей у подрядчика становится экономически осмысленной.","Тиражирование корпусов и деталей шлемов, крепления, корпуса электроники, мелкосерийные повторяемые детали",5,A,"Город прямо не указан; код телефона +7 913 указывает на Сибирь (вероятно Новосибирск), но это КОСВЕННЫЙ признак, а не подтверждение. Есть публичный email.",2026-09-15
C006,Cosplay studio,Мастерская СКЛО,sklo-natalia,Санкт-Петербург,Санкт-Петербург,"Костюмы для косплея «под ключ», МАСКИ из силикона и латекса (10 000–25 000 ₽), бутафория, декорации, ростовые куклы, рюкзаки и сумки, копыта, рога, зеркальные костюмы, театральные костюмы, спецэффекты",Работают с 2009 г.; собственное конструирование лекал; задокументированные этапы литья силиконовых масок; 3D-печать в перечне услуг; портфолио с пошаговым процессом,Активна,"2026-09 — отмечено «новые проекты только осенью», что само по себе признак загрузки",Сайт-визитка VK,https://sklo-natalia.orgs.biz,,,,https://sklo-natalia.orgs.biz,,"Телефон (опубликован как контакт для заказов): +7 (911) 753-26-48. VK-сообщество у этой мастерской есть (страница-визитка построена на нём), но точный URL в источнике не раскрыт — не указываю, чтобы не выдумывать ссылку.",https://sklo-natalia.orgs.biz/,,"Льют силиконовые и латексные маски тиражом — а литьё всегда начинается с мастер-модели, которую сегодня дешевле напечатать, чем вылепить. Плюс копыта и рога: жёсткие повторяющиеся детали. 16 лет работы и очередь до осени говорят о стабильном потоке.","Печатные мастер-модели под литьё, формы, повторяемые детали, оснастка, копыта, рога, жёсткие детали костюма",4,A,"Литьё масок = естественный и прямой спрос на печатные мастер-модели. В источнике направление масок шло отдельной карточкой — объединено сюда, это одна мастерская, а не две.",2026-09-15
C007,Cosplay studio,Ателье «Северный Версаль»,northvers,Санкт-Петербург,Санкт-Петербург,"Костюмы фэнтези, фантастика, аниме, комиксы, фильмы и сериалы; бутафория, косплей, праздничные, спортивные и танцевальные костюмы; массовый пошив для коллективов","Собственное ателье со швеями и мастерами; заявлено оборудование для 3D-печати, вышивки и работы с кожей; пошив по индивидуальным лекалам и меркам",Активна,2026-09 — страница активна,Сайт-визитка VK,https://northvers.orgs.biz/,https://vk.com/northvers,,,https://northvers.orgs.biz/,,"Телефон / WhatsApp / Viber (опубликован как контакт): +7 (931) 581-64-21. Адрес: СПб, Биржевая линия 8-10",https://northvers.orgs.biz/,https://vk.com/northvers,"Сами заявляют наличие 3D-печати и при этом ведут массовый пошив для коллективов — сочетание серийности и уже принятой технологии. Для костюмов коллективов нужны одинаковые жёсткие элементы в количестве, а это прямой тираж.","Тиражные жёсткие элементы костюма, фурнитура, крепления, пряжки, декоративные детали",4,A,"Есть и прокат, но собственное производство подтверждено — квалифицируется. VK-URL зафиксирован точно.",2026-09-15
C008,Prop maker,Dee FX,fxmakeup,Краснодар,Краснодарский край,"Сложная силиконовая бутафория, пластический грим и протезы, реквизит, костюмы для косплея, бутафорская кровь и слизь, накладные уши, носы, рога","Позиционируются как «первая и единственная арт-студия Юга России» по силиконовой бутафории; портфолио лепки масок, литья латекса, готовых протезов для кинопроектов",Активна,2026-09 — страница активна,Сайт-визитка VK,https://fxmakeup.orgs.biz,,,,https://fxmakeup.orgs.biz,,"Телефоны (опубликованы как контакты): +7 (952) 820-16-09, +7 (928) 039-37-18. Адрес: Краснодар, ул. Карасунская, 93. VK-сообщество у этой мастерской есть (страница-визитка построена на нём), но точный URL в источнике не раскрыт — не указываю, чтобы не выдумывать ссылку.",https://fxmakeup.orgs.biz/,https://cospshop.orgs.biz/,"Силиконовое литьё физически невозможно без мастер-модели и формы — то есть у них постоянная потребность в том, что мы делаем лучше и быстрее ручной лепки. Тиражирование протезов для кино = мелкосерийка с повторяющейся геометрией.","Печатные мастер-модели под литьё, формы, повторяемые детали, оснастка, накладные рога и уши, позитивы под формовку",4,A,"Телефоны совпадают с Cosplay Shop SDArt — с высокой вероятностью одна команда под двумя брендами. Обе записи оставлены отдельно, но при обзвоне это, скорее всего, один контакт.",2026-09-15
C009,Prop maker,Мастерская бутафории L-Props,l-props / Larporatory,Москва,Москва,"Декорации, костюмы, реквизит, скульптуры, маски; уличные и интерьерные объекты, интерактивные и сценические, гигантские и миниатюрные; костюмы и маски методом ЛИТЬЯ, пошива и крафта — для кино, мероприятий и перформансов","Собственный цех с публичным адресом и режимом работы, заявлено владение и современными технологиями, и классическими бутафорскими техниками; портфолио реализованных объектов (драконы, костюмы)",Активна,"2026-09 — сайт активен, режим работы пн–пт 12:00–21:00",Email,Larporatory@gmail.com,,,"Instagram, YouTube, TikTok, Facebook — иконки указаны на сайте",https://www.l-props.com/,Larporatory@gmail.com,"Телефоны (опубликованы как контакты): +7 (977) 713-92-88, +7 (977) 456-99-65, +7 (910) 481-22-76. Адрес: Москва, Смирновская ул., 19",https://www.l-props.com/,,"Работают литьём масок и костюмов, но 3D-печать на сайте нигде не упомянута — то есть технологию, скорее всего, ещё не внедрили. Это редкий случай «незанятой» потребности: печатные мастер-модели дадут им прямую экономию там, где сейчас идёт ручная лепка.","Печатные мастер-модели под литьё, формы, повторяемые детали, оснастка, скульптурные позитивы, крупногабаритные детали, механические узлы",4,A,"Прямой email — редкость в этом сегменте. Отсутствие своей печати делает их клиентом, а не конкурентом: лучший профиль для первого захода.",2026-09-15
C010,Cosplay studio,Neo Creates (косплей-ателье и крафт-мастерская),club175869546 / Neo Creates,не указан,Воронежская область,"Укладка и стайлинг париков (основной профиль), крафт, пошив, вышивка, роспись по ткани, украшения, 3D-МОДЕЛИРОВАНИЕ И 3D-ПЕЧАТЬ; обучающие курсы; готовые парики (например Jinx/Arcane — 17 000 ₽)","Обширное портфолио «до/после», детально описанные техпроцессы (завивка на пар, гофрация), мастер-классы в Москве и других городах с 2022 г., 3D-моделирование и 3D-печать заявлены в перечне услуг",Активна,2026-09 — обучение идёт непрерывно с 2022 г. по настоящее время,Сайт-визитка VK,https://club175869546.orgs.biz,,,,https://club175869546.orgs.biz,,"Телефон (опубликован как контакт): +7 (909) 212-06-05. Работают удалённо по всей РФ. VK-сообщество у этой мастерской есть (страница-визитка построена на нём), но точный URL в источнике не раскрыт — не указываю, чтобы не выдумывать ссылку.",https://club175869546.orgs.biz/,,"Сами заявляют 3D-моделирование и печать, а через мастер-классы связаны с десятками начинающих крафтеров — то есть это одновременно и клиент, и канал выхода на новую аудиторию. Закрывают Воронеж, один из целевых городов.","Печать аксессуаров и украшений, крепления для париков и рогов, декоративные детали, мелкосерийные повторяемые элементы",4,A,Обучающее направление делает их особенно ценными как «узел» сети. Точный VK-URL не зафиксирован.,2026-09-15
